Date,Open,High,Low,Close,Adj Close,Volume
2022-01-19,4577.75,4603.0,4517.25,4524.25,4524.25,2001348
2022-01-20,4526.0,4594.25,4437.75,4474.75,4474.75,2040704
2022-01-21,4454.25,4487.0,4381.25,4390.0,4390.0,3012106
2022-01-24,4389.0,4427.5,4212.75,4403.75,4403.75,3846785
2022-01-25,4402.75,4406.75,4276.5,4349.0,4349.0,2483392
2022-01-26,4308.75,4446.25,4294.25,4341.5,4341.5,2423103
2022-01-27,4345.25,4422.0,4263.25,4317.75,4317.75,2295458
2022-01-28,4348.0,4426.0,4266.25,4423.25,4423.25,2251268
2022-01-31,4423.5,4507.75,4395.5,4504.25,4504.25,1846145
2022-02-01,4493.25,4554.75,4474.0,4535.0,4535.0,1618163
2022-02-02,4552.0,4586.0,4535.25,4577.25,4577.25,1624220
2022-02-03,4545.75,4548.25,4462.0,4469.0,4469.0,1800714
2022-02-04,4518.0,4532.5,4438.5,4492.5,4492.5,1957881
2022-02-07,4497.0,4514.5,4462.75,4475.75,4475.75,1495143
2022-02-08,4484.0,4523.75,4456.25,4512.5,4512.5,1459766
2022-02-09,4519.0,4585.0,4517.25,4577.75,4577.75,1383317
2022-02-10,4582.25,4583.75,4476.0,4497.5,4497.5,2403026
2022-02-11,4494.5,4520.5,4393.25,4409.5,4409.5,2479025
2022-02-14,4411.75,4428.0,4354.0,4394.0,4394.0,2098618
2022-02-15,4393.5,4468.0,4381.75,4464.5,4464.5,1523305
2022-02-16,4458.75,4484.5,4422.75,4470.0,4470.0,1426847
2022-02-17,4464.25,4474.75,4367.25,4374.5,4374.5,1629730
2022-02-18,4374.75,4411.5,4321.0,4343.5,4343.5,1824590
2022-02-22,4324.25,4391.25,4250.0,4300.0,4300.0,2589159
2022-02-23,4310.75,4345.5,4212.5,4222.0,4222.0,1914227
2022-02-24,4215.5,4290.0,4101.75,4284.0,4284.0,2945330
2022-02-25,4266.75,4384.25,4227.5,4380.0,4380.0,1950397
2022-02-28,4299.5,4385.5,4251.5,4368.0,4368.0,2189820
2022-03-01,4367.5,4399.0,4275.0,4303.75,4303.75,1869277
2022-03-02,4308.75,4399.25,4278.25,4381.75,4381.75,1712970
2022-03-03,4373.75,4418.75,4341.0,4359.25,4359.25,1547676
2022-03-04,4366.5,4374.5,4281.25,4327.25,4327.25,1842722
2022-03-07,4308.75,4325.25,4185.25,4198.5,4198.5,1902001
2022-03-08,4186.5,4275.0,4138.75,4168.75,4168.75,2333021
2022-03-09,4153.0,4298.25,4152.0,4275.25,4275.25,1659520
2022-03-10,4279.0,4282.25,4207.0,4257.25,4257.25,1745090
2022-03-11,4258.5,4335.5,4198.0,4201.5,4201.5,1645055
